Kernel                           Source → Target  
────────────────────────────────────────────────────
aes                                cuda → hip     
aes                                 hip → cuda    
aes                                cuda → omp     
aes                                 omp → cuda    
aes                                cuda → sycl    
aes                                sycl → cuda    
aes                                 hip → omp     
aes                                 omp → hip     
aes                                 hip → sycl    
aes                                sycl → hip     
aes                                 omp → sycl    
aes                                sycl → omp     
bilateral                          cuda → hip     
bilateral                           hip → cuda    
bilateral                          cuda → omp     
bilateral                           omp → cuda    
bilateral                          cuda → sycl    
bilateral                          sycl → cuda    
bilateral                           hip → omp     
bilateral                           omp → hip     
bilateral                           hip → sycl    
bilateral                          sycl → hip     
bilateral                           omp → sycl    
bilateral                          sycl → omp     
binomial                           cuda → hip     
binomial                            hip → cuda    
binomial                           cuda → omp     
binomial                            omp → cuda    
binomial                           cuda → sycl    
binomial                           sycl → cuda    
binomial                            hip → omp     
binomial                            omp → hip     
binomial                            hip → sycl    
binomial                           sycl → hip     
binomial                            omp → sycl    
binomial                           sycl → omp     
chacha20                           cuda → hip     
chacha20                            hip → cuda    
chacha20                           cuda → omp     
chacha20                            omp → cuda    
chacha20                           cuda → sycl    
chacha20                           sycl → cuda    
chacha20                            hip → omp     
chacha20                            omp → hip     
chacha20                            hip → sycl    
chacha20                           sycl → hip     
chacha20                            omp → sycl    
chacha20                           sycl → omp     
chi2                               cuda → hip     
chi2                                hip → cuda    
chi2                               cuda → omp     
chi2                                omp → cuda    
chi2                               cuda → sycl    
chi2                               sycl → cuda    
chi2                                hip → omp     
chi2                                omp → hip     
chi2                                hip → sycl    
chi2                               sycl → hip     
chi2                                omp → sycl    
chi2                               sycl → omp     
convolutionseparable               cuda → hip     
convolutionseparable                hip → cuda    
convolutionseparable               cuda → omp     
convolutionseparable                omp → cuda    
convolutionseparable               cuda → sycl    
convolutionseparable               sycl → cuda    
convolutionseparable                hip → omp     
convolutionseparable                omp → hip     
convolutionseparable                hip → sycl    
convolutionseparable               sycl → hip     
convolutionseparable                omp → sycl    
convolutionseparable               sycl → omp     
dct8x8                             cuda → hip     
dct8x8                              hip → cuda    
dct8x8                             cuda → omp     
dct8x8                              omp → cuda    
dct8x8                             cuda → sycl    
dct8x8                             sycl → cuda    
dct8x8                              hip → omp     
dct8x8                              omp → hip     
dct8x8                              hip → sycl    
dct8x8                             sycl → hip     
dct8x8                              omp → sycl    
dct8x8                             sycl → omp     
eigenvalue                         cuda → hip     
eigenvalue                          hip → cuda    
eigenvalue                         cuda → omp     
eigenvalue                          omp → cuda    
eigenvalue                         cuda → sycl    
eigenvalue                         sycl → cuda    
eigenvalue                          hip → omp     
eigenvalue                          omp → hip     
eigenvalue                          hip → sycl    
eigenvalue                         sycl → hip     
eigenvalue                          omp → sycl    
eigenvalue                         sycl → omp     
fft                                cuda → hip     
fft                                 hip → cuda    
fft                                cuda → omp     
fft                                 omp → cuda    
fft                                cuda → sycl    
fft                                sycl → cuda    
fft                                 hip → omp     
fft                                 omp → hip     
fft                                 hip → sycl    
